DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__73A6722EE48FDE52141B50F203A2B2CF84A087A7, StartTime=2016.05.24-08.48.38, HierarchicalDDC, DataSize=3002145 bytes, Retrieved=true, Duration=2.513613ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__EB5C78A58AB4120DB83589C8DEE533EE2DBCBA7F, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=3271449 bytes, Retrieved=true, Duration=4.619777ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__D6873CB2ACEC46DE475A77CC3BC9BA0FC063D9CE, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=2580886 bytes, Retrieved=true, Duration=13.978909ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__C111D12261E3069F715C6981BE6DD76D2E504D61, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.147142ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__5BE59B03E28933070E8B25D23A38ECF1904C544F, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=0.432771ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__93664824A14E2DE0D1913A6F9AC328955691242E, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.220235ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__1B3D7C6A7FF2FD452CBC4746AFF28A6D94051DD5, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=0.618383ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__7921CC5044C863802FFD66A590EC41DC601EB157, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.139449ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__8B1CA5E1452C4524924FBF3E111C760817EFAD6A, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=0.413861ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__51D048FFA1BC871FDB9758579744F050E887B261, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.144258ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__757EFC8D4EF5247D5BCB71240E3306D3435E51EC, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=0.695001ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
