DDCTransactionId67C4E6B54821EAD9C15960961316B64F_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__73A6722EE48FDE52141B50F203A2B2CF84A087A7, StartTime=2016.05.24-09.33.00, HierarchicalDDC, DataSize=3002145 bytes, Retrieved=true, Duration=2.549518ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__EB5C78A58AB4120DB83589C8DEE533EE2DBCBA7F, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=3271449 bytes, Retrieved=true, Duration=5.254831ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__D6873CB2ACEC46DE475A77CC3BC9BA0FC063D9CE, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=2580886 bytes, Retrieved=true, Duration=49.240982ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__93664824A14E2DE0D1913A6F9AC328955691242E, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.426363ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__1B3D7C6A7FF2FD452CBC4746AFF28A6D94051DD5, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=8.213401ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__7921CC5044C863802FFD66A590EC41DC601EB157, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.058666ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__8B1CA5E1452C4524924FBF3E111C760817EFAD6A, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=0.315126ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__C111D12261E3069F715C6981BE6DD76D2E504D61, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.060588ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__5BE59B03E28933070E8B25D23A38ECF1904C544F, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=11.891660ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__51D048FFA1BC871FDB9758579744F050E887B261, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.068601ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__757EFC8D4EF5247D5BCB71240E3306D3435E51EC, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=2.312612ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_11, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__EA395D13CDC6D393B89AB6E062ECAAFC67CA52FF, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=46674 bytes, Retrieved=true, Duration=0.107072ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__7C2236F37A2699D5ED760BB0FB6F110480C08B96, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.367697ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__5A05F619742FE08C4A0EAF506CE2DA80E71B3F09, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.130150ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__E8E8F6A974CFFFD14638F5460D1E279D2CFFBC93, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.267357ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A6D8B5D7C4BA1914916EDB8EEF1A2430303F569C, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.075337ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__1B19725398BA974ABF67B90E7D4E53DD7BC27FDC, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=0.338204ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
